,collection,productIdentifier,parentIdentifier,organisationName,startDate,completionDate,productType,processingLevel,platform,instrument,resolution,sensorMode,orbitNumber,relativeOrbitNumber,quicklook,thumbnail,updated,published,waterCover,snowCover,cloudCover,centroid,version,percentSaturatedPixelsMax,percentNoDataPixelsMax,nbColInterpolationErrorMax,percentGroundUsefulPixels,percentUsefulPixelsMin,location,productionDate,bands,thermBands,nb_cols,nb_rows,tileId,title,oragnisationName,services,urlwms
0,VENUSVM05,VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-28T05:02:12Z,2023-04-28T05:02:12Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30849,30849,https://theia.cnes.fr/data//VENUSVM05/2023/04/28/VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/28/VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-05-05T08:22:01Z,2023-05-05T08:22:01Z,0,,33,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-05-05T06:36:55Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/c3a6b28c-4fab-5af6-a7ac-2da2c40b1845/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/c3a6b28c-4fab-5af6-a7ac-2da2c40b1845/download', 'mimeType': 'application/zip', 'checksum': '9b6947cff8c054e35a05281766d4530e'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230428-050212-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=28&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
1,VENUSVM05,VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-24T05:03:27Z,2023-04-24T05:03:27Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30789,30789,https://theia.cnes.fr/data//VENUSVM05/2023/04/24/VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/24/VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-30T20:21:41Z,2023-04-30T20:21:41Z,0,,24,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-04-30T18:37:47Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/ea301e27-bc03-5fea-97f1-256461db05b4/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/ea301e27-bc03-5fea-97f1-256461db05b4/download', 'mimeType': 'application/zip', 'checksum': '8b1cfea77857b978dad75039b886e53c'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230424-050327-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=24&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
2,VENUSVM05,VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-21T05:04:13Z,2023-04-21T05:04:13Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30744,30744,https://theia.cnes.fr/data//VENUSVM05/2023/04/21/VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/21/VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-27T20:21:33Z,2023-04-27T20:21:33Z,0,,11,"{'type': 'Point', 'coordinates': [76.598110198974, 11.748216629028]}",3-1,,,,,,BANDIPUR,2023-04-27T19:37:29Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10195,8916,,VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/151188c7-51f2-528f-9cc2-04ba1137d244/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/151188c7-51f2-528f-9cc2-04ba1137d244/download', 'mimeType': 'application/zip', 'checksum': '0b485317102382dc8e62ed386ea60e13'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230421-050413-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=21&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505935.4374988,1298624.7539465,8547789.8062811,1335520.3557447&WIDTH=256&HEIGHT=256&"
3,VENUSVM05,VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-20T05:04:27Z,2023-04-20T05:04:27Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30729,30729,https://theia.cnes.fr/data//VENUSVM05/2023/04/20/VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/20/VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-26T20:21:54Z,2023-04-26T20:21:54Z,0,,0,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-04-26T19:36:43Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/6b9f4f28-d741-5a8b-9856-29594bc763a3/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/6b9f4f28-d741-5a8b-9856-29594bc763a3/download', 'mimeType': 'application/zip', 'checksum': '6183699ba9db3a2f742dfe3f52a7bd22'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230420-050427-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=20&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
4,VENUSVM05,VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-19T05:04:40Z,2023-04-19T05:04:40Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30714,30714,https://theia.cnes.fr/data//VENUSVM05/2023/04/19/VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/19/VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-25T20:21:30Z,2023-04-25T20:21:30Z,0,,1,"{'type': 'Point', 'coordinates': [76.598110198974, 11.748216629028]}",3-1,,,,,,BANDIPUR,2023-04-25T18:39:24Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10195,8916,,VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/62af62b2-f7b0-5ea8-a610-4a67b9cf2429/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/62af62b2-f7b0-5ea8-a610-4a67b9cf2429/download', 'mimeType': 'application/zip', 'checksum': '5d72694c2ac734b619d4b5a2d8b8db9f'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230419-050440-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=19&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505935.4374988,1298624.7539465,8547789.8062811,1335520.3557447&WIDTH=256&HEIGHT=256&"
5,VENUSVM05,VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-17T05:05:04Z,2023-04-17T05:05:04Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30684,30684,https://theia.cnes.fr/data//VENUSVM05/2023/04/17/VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/17/VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-25T08:21:17Z,2023-04-25T08:21:17Z,0,,6,"{'type': 'Point', 'coordinates': [76.598110198974, 11.748216629028]}",3-1,,,,,,BANDIPUR,2023-04-25T07:37:34Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10195,8916,,VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/17a14aef-22bd-57bb-9a5d-78b19ecd4758/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/17a14aef-22bd-57bb-9a5d-78b19ecd4758/download', 'mimeType': 'application/zip', 'checksum': '1bf5907b7eb28b3efa444426a9c7879c'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230417-050504-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=17&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505935.4374988,1298624.7539465,8547789.8062811,1335520.3557447&WIDTH=256&HEIGHT=256&"
6,VENUSVM05,VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-16T05:05:14Z,2023-04-16T05:05:14Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30669,30669,https://theia.cnes.fr/data//VENUSVM05/2023/04/16/VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/16/VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-25T08:21:17Z,2023-04-25T08:21:17Z,0,,0,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-04-25T06:36:31Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/d04bb6ba-ed01-5a9b-b840-dc16be5acd85/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/d04bb6ba-ed01-5a9b-b840-dc16be5acd85/download', 'mimeType': 'application/zip', 'checksum': '5daee33a046b2f08a29e10d1c5a268bf'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230416-050514-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=16&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
7,VENUSVM05,VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-14T05:05:32Z,2023-04-14T05:05:32Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30639,30639,https://theia.cnes.fr/data//VENUSVM05/2023/04/14/VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/14/VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-20T20:22:41Z,2023-04-20T20:22:41Z,0,,0,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-04-20T18:36:54Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/4f7881c4-a762-5824-b08f-e751d78e866a/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/4f7881c4-a762-5824-b08f-e751d78e866a/download', 'mimeType': 'application/zip', 'checksum': '3c771f2466b199eb4a816f6b85d7ecfa'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230414-050532-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=14&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
8,VENUSVM05,VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D,urn:ogc:def:EOP:CNES::VENUSVM05:,THEIA,2023-04-12T05:05:46Z,2023-04-12T05:05:46Z,REFLECTANCE,LEVEL2A,VENUS,,4,XS,30609,30609,https://theia.cnes.fr/data//VENUSVM05/2023/04/12/VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D_V3-1_QKL_ALL.png,https://theia.cnes.fr/data//VENUSVM05/2023/04/12/VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D_V3-1/VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D_V3-1_THB_ALL.png,2023-04-18T22:21:58Z,2023-04-18T22:21:58Z,0,,4,"{'type': 'Point', 'coordinates': [76.598094940186, 11.748217105865]}",3-1,,,,,,BANDIPUR,2023-04-18T20:37:12Z,B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12,,10200,8916,,VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D,CNES,"{'browse': {'title': 'Display full resolution product on map', 'layer': {'type': 'WMS', 'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/d0ed291d-b7b7-503c-89c1-0dde44d13b50/wms?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX={:bbox3857:}&WIDTH=256&HEIGHT=256', 'layers': ''}}, 'download': {'url': 'https://theia.cnes.fr/atdistrib/resto2/collections/VENUSVM05/d0ed291d-b7b7-503c-89c1-0dde44d13b50/download', 'mimeType': 'application/zip', 'checksum': '57c97e25634253b4beafa85ed7693c69'}}","https://mapserver.theia.cnes.fr/cgi-bin/mapserv?map=/nfs/muscate_data//muscate.map&idProduit=VENUS-XS_20230412-050546-000_L2A_BANDIPUR_D&versionProduit=3-1&idProjet=VENUSVM05&anneeProduit=2023&moisProduit=04&jourProduit=12&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&BBOX=8505923.5472945,1298624.7539465,8547798.2992842,1335520.4642432&WIDTH=256&HEIGHT=256&"
